Month,DayofMonth,DayOfWeek,CarrierName,ActualDeptTime,SchedDeptTime,DeptDelay,ActualArrvTime,SchedArrvTime,ArrvDelay,ActualElapsedTime,SchedElapsedTime,AirTime,TaxiIn,TaxiOut
2,7,TH,Northwest Airlines Inc.,659,700,-1,823,809,14,144,129,93,8,43
2,7,TH,Northwest Airlines Inc.,1423,1426,-3,1529,1529,0,126,123,106,7,13
2,8,F,Northwest Airlines Inc.,923,920,3,1050,1025,25,147,125,96,14,37
2,8,F,United Air Lines Inc.,1446,1450,-4,1539,1554,-15,113,124,97,7,9
2,8,F,United Air Lines Inc.,1840,1845,-5,1945,1958,-13,125,133,103,11,11
2,8,F,United Air Lines Inc.,909,915,-6,1032,1034,-2,143,139,103,9,31
2,9,SA,Northwest Airlines Inc.,1204,1200,4,1454,1305,109,230,125,100,12,118
2,9,SA,Northwest Airlines Inc.,1704,1655,9,1807,1756,11,123,121,103,10,10
2,10,SU,Northwest Airlines Inc.,1657,1655,2,1756,1756,0,119,121,101,5,13
2,10,SU,Northwest Airlines Inc.,2143,2145,-2,2243,2244,-1,120,119,98,7,15
2,11,M,Northwest Airlines Inc.,1422,1426,-4,1527,1529,-2,125,123,99,11,15
2,12,T,United Air Lines Inc.,630,630,0,735,738,-3,125,128,95,11,19
2,12,T,Northwest Airlines Inc.,654,700,-6,756,809,-13,122,129,92,9,21
2,13,W,Northwest Airlines Inc.,2142,2145,-3,2333,2244,49,171,119,108,6,57
2,13,W,United Air Lines Inc.,1207,1207,0,1311,1313,-2,124,126,103,7,14
2,13,W,Northwest Airlines Inc.,1156,1200,-4,1255,1305,-10,119,125,98,6,15
2,13,W,United Air Lines Inc.,1854,1847,7,2004,2000,4,130,133,111,5,14
2,14,TH,Northwest Airlines Inc.,657,700,-3,839,808,31,162,128,110,9,43
2,14,TH,United Air Lines Inc.,630,630,0,810,738,32,160,128,118,7,35
2,14,TH,Northwest Airlines Inc.,1656,1650,6,1801,1754,7,125,124,105,9,11
2,14,TH,United Air Lines Inc.,1409,1407,2,1518,1513,5,129,126,108,7,14
2,15,F,Northwest Airlines Inc.,908,910,-2,1016,1017,-1,128,127,97,10,21
2,16,SA,Northwest Airlines Inc.,1205,1200,5,1313,1304,9,128,124,100,9,19
2,16,SA,United Air Lines Inc.,840,845,-5,934,1004,-30,114,139,97,6,11
2,16,SA,United Air Lines Inc.,1900,1857,3,2009,2010,-1,129,133,107,9,13
2,17,SU,United Air Lines Inc.,1234,1207,27,1332,1313,19,118,126,101,7,10
2,17,SU,United Air Lines Inc.,946,845,61,1111,1004,67,145,139,103,24,18
2,17,SU,United Air Lines Inc.,1500,1407,53,1623,1513,70,143,126,115,11,17
2,17,SU,United Air Lines Inc.,1843,1848,-5,1944,2001,-17,121,133,98,6,17
2,17,SU,Northwest Airlines Inc.,1159,1200,-1,1314,1304,10,135,124,99,7,29
2,18,M,Northwest Airlines Inc.,1156,1200,-4,1252,1304,-12,116,124,99,7,10
2,18,M,United Air Lines Inc.,1202,1207,-5,1300,1313,-13,118,126,98,5,15
2,18,M,Northwest Airlines Inc.,1314,1318,-4,1416,1423,-7,122,125,100,9,13
2,18,M,Northwest Airlines Inc.,719,700,19,821,808,13,122,128,93,12,17
2,19,T,United Air Lines Inc.,958,845,73,1108,1004,64,130,139,103,8,19
2,19,T,United Air Lines Inc.,713,630,43,825,738,47,132,128,102,5,25
2,20,W,Northwest Airlines Inc.,1157,1200,-3,1304,1304,0,127,124,100,8,19
2,21,TH,Northwest Airlines Inc.,2141,2145,-4,2231,2248,-17,110,123,89,9,12
2,21,TH,United Air Lines Inc.,1846,1847,-1,1943,2000,-17,117,133,90,16,11
2,21,TH,Northwest Airlines Inc.,1651,1650,1,1742,1754,-12,111,124,91,7,13
2,22,F,Northwest Airlines Inc.,1212,1200,12,1259,1304,-5,107,124,87,6,14
2,22,F,United Air Lines Inc.,624,630,-6,727,738,-11,123,128,95,6,22
2,23,SA,Northwest Airlines Inc.,1645,1650,-5,1742,1754,-12,117,124,95,8,14
2,23,SA,United Air Lines Inc.,1157,1158,-1,1301,1304,-3,124,126,96,15,13
2,24,SU,Northwest Airlines Inc.,2144,2145,-1,2258,2248,10,134,123,102,11,21
2,25,M,Northwest Airlines Inc.,907,910,-3,1013,1017,-4,126,127,105,9,12
2,25,M,United Air Lines Inc.,1405,1407,-2,1500,1513,-13,115,126,99,8,8
2,25,M,United Air Lines Inc.,1846,1847,-1,1956,2000,-4,130,133,107,10,13
2,26,T,Northwest Airlines Inc.,2205,2145,20,2259,2248,11,114,123,87,8,19
2,26,T,United Air Lines Inc.,623,630,-7,724,738,-14,121,128,105,7,9
2,26,T,United Air Lines Inc.,1404,1407,-3,1452,1513,-21,108,126,95,7,6
2,26,T,Northwest Airlines Inc.,654,700,-6,801,808,-7,127,128,102,9,16
2,27,W,United Air Lines Inc.,1405,1407,-2,1458,1513,-15,113,126,99,5,9
2,27,W,Northwest Airlines Inc.,1655,1650,5,1753,1754,-1,118,124,94,8,16
2,27,W,United Air Lines Inc.,1204,1207,-3,1256,1313,-17,112,126,95,5,12
2,27,W,Northwest Airlines Inc.,657,700,-3,747,808,-21,110,128,90,9,11
2,28,TH,United Air Lines Inc.,629,630,-1,740,738,2,131,128,107,9,15
2,28,TH,Northwest Airlines Inc.,917,910,7,1028,1017,11,131,127,103,10,18
2,29,F,United Air Lines Inc.,631,630,1,726,738,-12,115,128,94,6,15
3,1,SA,Northwest Airlines Inc.,945,910,35,1052,1017,35,127,127,94,8,25
3,1,SA,Northwest Airlines Inc.,1434,1436,-2,1536,1538,-2,122,122,100,8,14
3,1,SA,United Air Lines Inc.,1155,1158,-3,1250,1304,-14,115,126,100,4,11
3,1,SA,United Air Lines Inc.,628,630,-2,723,738,-15,115,128,97,5,13
3,2,SU,United Air Lines Inc.,1429,1407,22,1549,1513,36,140,126,114,9,17
3,2,SU,United Air Lines Inc.,1200,1207,-7,1317,1313,4,137,126,114,10,13
3,3,M,Northwest Airlines Inc.,1239,1200,39,1336,1304,32,117,124,97,6,14
3,3,M,Northwest Airlines Inc.,1433,1436,-3,1543,1538,5,130,122,94,11,25
3,4,T,Northwest Airlines Inc.,909,910,-1,1041,1017,24,152,127,112,13,27
3,4,T,Northwest Airlines Inc.,2138,2145,-7,2231,2248,-17,113,123,95,6,12
3,4,T,United Air Lines Inc.,616,620,-4,726,728,-2,130,128,108,8,14
3,4,T,Northwest Airlines Inc.,1154,1200,-6,1307,1304,3,133,124,103,12,18
3,4,T,United Air Lines Inc.,1852,1902,-10,2006,2015,-9,134,133,110,8,16
3,5,W,Northwest Airlines Inc.,1737,1650,47,1838,1754,44,121,124,96,10,15
3,5,W,Northwest Airlines Inc.,927,910,17,1100,1017,43,153,127,108,10,35
3,5,W,United Air Lines Inc.,621,620,1,802,728,34,161,128,112,11,38
3,6,TH,United Air Lines Inc.,1403,1407,-4,1458,1513,-15,115,126,102,3,10
3,6,TH,Northwest Airlines Inc.,1310,1318,-8,1414,1423,-9,124,125,98,10,16
3,7,F,United Air Lines Inc.,1209,1207,2,1256,1313,-17,107,126,90,7,10
3,7,F,United Air Lines Inc.,753,755,-2,855,914,-19,122,139,95,7,20
3,8,SA,United Air Lines Inc.,619,620,-1,712,728,-16,113,128,94,7,12
3,9,SU,Northwest Airlines Inc.,1655,1650,5,1743,1754,-11,108,124,90,9,9
3,9,SU,Northwest Airlines Inc.,1222,1200,22,1311,1304,7,109,124,89,6,14
3,10,M,United Air Lines Inc.,1913,1902,11,2014,2015,-1,121,133,93,13,15
3,10,M,Northwest Airlines Inc.,1649,1650,-1,1737,1754,-17,108,124,91,10,7
3,10,M,United Air Lines Inc.,616,620,-4,715,728,-13,119,128,98,6,15
3,11,T,United Air Lines Inc.,752,755,-3,855,914,-19,123,139,92,16,15
3,12,W,Northwest Airlines Inc.,2139,2145,-6,2237,2248,-11,118,123,92,7,19
